2014_2015_window8 ordered
lta,,,,ltaExp,,,,mwa,,,,mwaExp,,,,
mmCoders,,,,mmCoders,,,,mmCoders,,,,mmCoders,,,,
ll,0.4956,29,,ll,0.4822,29,,ll,0.4253,29,,ll,0.3832,29,,
x2,0.4837,29,,x2,0.4902,29,,x2,0.3615,29,,
